Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,transformed_user_score,Sales_SubIndex,Critic_SubIndex,Player_SubIndex,Game_Success_Index
The Legend of Zelda: Skyward Sword,Wii,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,0.7755102040816326,1.0,1.0000000000000002,0.7755102040816326,0.9251700680272109
Professor Layton and the Unwound Future,DS,Puzzle,0.4326241134751773,0.9999999999999999,1.0,0.9310344827586208,0.9318181818181819,0.9333333333333332,1.0,0.8409146490584496,0.9321969696969697,1.0,0.9243705395851398
Mario Kart 7,3DS,Racing,1.0,0.9999999999999999,1.0,1.0,0.9090909090909092,1.0,0.8367346938775508,1.0,0.9318181818181819,0.8367346938775508,0.9228509585652441
Metal Gear Solid,PS,Action,1.0,0.9999999999999999,1.0,0.8275862068965517,1.0000000000000002,0.2333333333333333,1.0,0.9568965517241379,0.8083333333333336,1.0,0.9217432950191572
Kingdom Hearts II,PS2,Role-Playing,1.0,0.6373626373626372,1.0,0.5862068965517242,0.9545454545454546,0.9666666666666667,1.0,0.8058923834785904,0.9575757575757576,1.0,0.921156047018116
The Legend of Zelda: Majoras Mask 3D,3DS,Action,0.8226950354609929,0.6263736263736263,1.0,0.5862068965517242,1.0000000000000002,1.0,1.0,0.7588188895965858,1.0000000000000002,1.0,0.9196062965321953
The Legend of Zelda: Phantom Hourglass,DS,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.85,0.7959183673469388,1.0,0.9625000000000002,0.7959183673469388,0.9194727891156464
Resident Evil,PS,Action,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.033333333333333326,1.0,1.0,0.7583333333333335,1.0,0.9194444444444446
Gran Turismo,PS,Racing,1.0,0.9999999999999999,1.0,1.0,1.0000000000000002,0.16666666666666666,0.9591836734693879,1.0,0.7916666666666669,0.9591836734693879,0.916950113378685
BioShock,X360,Shooter,1.0,0.934065934065934,0.18518518518518517,0.9655172413793105,1.0000000000000002,1.0,0.9795918367346939,0.7711920901576074,1.0000000000000002,0.9795918367346939,0.9169279756307672
Metal Gear Solid 3: Snake Eater,PS2,Action,1.0,0.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.75,1.0000000000000002,1.0,0.9166666666666666
God of War,PS2,Action,1.0,0.9999999999999999,0.07407407407407407,1.0,1.0000000000000002,1.0,0.9795918367346939,0.7685185185185185,1.0000000000000002,0.9795918367346939,0.9160367850844041
Call of Duty 4: Modern Warfare,X360,Shooter,1.0,0.9999999999999999,0.48148148148148145,1.0,1.0000000000000002,1.0,0.8775510204081634,0.8703703703703703,1.0000000000000002,0.8775510204081634,0.915973796926178
Crash Bandicoot 3: Warped,PS,Platform,1.0,0.9999999999999999,1.0,0.9655172413793105,1.0000000000000002,0.1,0.9795918367346939,0.9913793103448276,0.7750000000000002,0.9795918367346939,0.915323715693174
Mario Kart Wii,Wii,Racing,1.0,0.9999999999999999,1.0,1.0,0.840909090909091,1.0,0.8571428571428572,1.0,0.8806818181818183,0.8571428571428572,0.9126082251082251
Splatoon,WiiU,Shooter,1.0,0.9999999999999999,1.0,0.8965517241379312,0.8181818181818183,1.0,0.8979591836734693,0.9741379310344828,0.8636363636363638,0.8979591836734693,0.9119111594481053
Mass Effect 2,X360,Role-Playing,1.0,0.8901098901098901,0.11111111111111109,0.9310344827586208,1.0000000000000002,1.0,1.0,0.7330638709949056,1.0000000000000002,1.0,0.9110212903316354
